imageID,Keywords,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev,Count,Total Area,Average Size,%Area
125,B_Instrumental_main-track,21,49.0699,255,105.9881,5,68.5316,8,16355,2044.375,9.465
126,B_Instrumental_main-track,31,49.7477,255,89.1571,12,65.1619,17,51019,3001.118,29.525
127,B_Instrumental_main-track,20,28.1217,255,102.0527,8,57.402,15,54746,3649.733,31.682
128,B_Instrumental_main-track,110,81.4491,50,74.723,113,56.9304,40,68933,1723.325,39.892
129,B_Instrumental_main-track,43,71.8889,195,79.0612,89,85.6592,25,61244,2449.76,35.442
130,B_Instrumental_main-track,13,47.0126,200,57.6982,60,67.6328,21,46085,2194.524,26.67
131,B_Instrumental_main-track,47,67.6002,127,78.9235,113,48.5775,27,33820,1252.593,19.572
132,G_Lyrics_complementarytrack,58,24.631,255,16.5651,19,23.1948,8,107783,13472.875,62.374
133,G_Lyrics_complementarytrack,28,21.7235,255,31.8874,12,32.6729,11,79578,7234.364,46.052
134,G_Lyrics_complementarytrack,139,63.9822,253,25.6169,21,25.3622,2,52926,26463,30.628
135,B_Instrumental_main-track,16,46.0742,251,117.524,7,52.5342,14,46228,3302,26.752
136,B_Instrumental_main-track,91,91.0536,72,93.3078,104,68.6839,37,51566,1393.676,29.841
137,B_Instrumental_main-track,85,95.038,145,92.3871,114,61.1213,18,52836,2935.333,30.576
138,B_Instrumental_main-track,5,45.8812,170,72.4177,93,30.2338,8,12478,1559.75,7.221
139,B_Instrumental_main-track,41,33.7009,255,30.6148,14,51.1977,24,28351,1181.292,16.407
140,G_Lyrics_complementarytrack,57,32.4271,231,22.1279,22,23.6118,6,63333,10555.5,36.651
141,G_Lyrics_complementarytrack,98,44.4322,235,17.8233,24,23.3575,9,65055,7228.333,37.648
142,R_Video_footage_overlaps,64,48.1845,255,67.6859,18,38.0628,9,86367,9596.333,49.981
143,G_Lyrics_complementarytrack,66,34.478,255,18.5524,18,36.0845,6,121191,20198.5,70.134
144,B_Instrumental_main-track,37,68.099,198,79.4783,93,87.1942,8,56322,7040.25,32.594
145,B_Instrumental_main-track,47,77.3777,228,59.3656,93,93.76,13,70971,5459.308,41.071
146,B_Instrumental_main-track,57,67.3499,204,80.6802,104,80.4238,23,77694,3378,44.962
147,B_Instrumental_main-track,6,24.5797,182,61.8332,93,37.6044,2,3730,1865,2.159
